SI.NO,PSC:,PRODUCT/PARTS,COMPLAINT,CHECK-1,ACTION,CHECK-2,ACTION,CHECK-3,ACTION,CHECK-4,ACTION,CHECK-5,ACTION,CHECK-6,ACTION,CHECK-7,ACTION,CHECK-8,ACTION,CHECK-9,ACTION,CHECK-10,ACTION,CHECK-11,ACTION,CHECK-12,ACTION
 ,,VIBRO,NOT WORKING (NOT ON LED),CHECK THE FUSE,REPLACE FUSE,CHECK THE POWER SUPPLY,REPLACE POWER SUPPLY,CHECK THE SUPPLY VOLTAGE (11v TO 14V),REPLACE POWER SUPPLY,CHECK THE GUN ELEMENT SHORT,REPLACE THE GUN,REPLACE THE DC CONNECTOR,CHECK THE STIRRER BOARD,REPLACE THE STIRRER BOARD,,,,,,,,,,,,,
,,,NOT WORKING (LED JUST ON AND OFF),CHECK THE GUN ELEMENT SHORT,REPLACE THE GUN,CHECK DC CONNECTOR,REPLACE THE DC CONNECTOR,CHECK THE STIRRER BOARD,REPLACE THE STIRRER BOARD,,,,,,,,,,,,,,,,,,
,,,MACHINE ON BUT THE VIBRATION NOT PRESENT,CHECK THE SUPPLY VOLTAGE (11v TO 14V),REPLACE POWER SUPPLY,CHECK THE GUN ELEMENT SHORT,REPLACE THE GUN,CHECK THE FREQ.POT AND CABLE,REPLACE THE FREQ.POT,CHECK THE STIRRER BOARD,REPLACE THE STIRRER BOARD,,,,,,,,,,,,,,,,
,,,MACHINE CONTINIOUSLY VIBRATING,CHECK THE TIMER POT. AND CABLE,REPLACE THE TIMER POT.,CHECK THE STIRRER BOARD,REPLACE THE STIRRER BOARD,,,,,,,,,,,,,,,,,,,,
,,,LOW VIBRATION,CHECK THE SUPPLY VOLTAGE (11v TO 14V),REPLACE POWER SUPPLY,CHECK THE FREQ.POT AND CABLE,REPLACE THE FREQ.POT,CHECK THE STIRRER BOARD FREQ.TRIMPOT ADJUST,ADJUST THE FREQ.TRIMPOT,CHECK THE STIRRER BOARD,REPLACE THE STIRRER BOARD,,,,,,,,,,,,,,,,
,,,VIBRATION INDICATION LED NOT WORKING,CHECK THE LED IS WORKING AND CHECK THE CONNECTING CABLE QUALITY,REPLACE THE LED AND CABLE ASSY.,CHECK THE VOLTAGE OF THE INDICATION LINE,REPLACE THE STIRRER BOARD,,,,,,,,,,,,,,,,,,,,
,,,POWER LED NOT WORKING,CHECK THE LED IS WORKING AND CHECK THE CONNECTING CABLE QUALITY,REPLACE THE LED AND CABLE ASSY.,CHECK THE VOLTAGE OF THE INDICATION LINE,REPLACE THE STIRRER BOARD,,,,,,,,,,,,,,,,,,,,
,,,STIRRER WORKING ONLY THE ADAPTER PLUGGING TIME.(VOBRO NOT WORKING BY THE PUSH SWITCH),CHECK THE KEY FUNCTIONALITY AND CABLE ASSY. QUALITY.,REPLACE THE KEY ,CHECK THE STIRRER BOARD,REPLACE THE STIRRER BOARD,,,,,,,,,,,,,,,,,,,,
,,SOLAR CHARGER BOARD,NOT PRESENT THE  BATTERY CHARGING VOLTAGE - 0V,CHECK THE CHARGER ADAPTER VOLTAGES - 12.5V AND 24V,REPLACED THE CHARGER ADAPTER,CHECK THE CHARGER FUSE,REPLACE THE FUSE,CHECK THE CHARGER ADAPTER TO SOLARCHARGER BOARD WIRING,,CHECK THE SOLAR CHARGER BOARD COMPONENTS DAMAGE,REPLACE THE SOLAR CHARGER BOARD,,,,,,,,,,,,,,,,
,,,BATTERY CHARGING VOLTAGE IS LOW,CHECK THE CHARGER ADAPTER VOLTAGES - 12.5V AND 24V,REPLACED THE CHARGER ADAPTER,REMOVE THE BATTERY AND CHECK THE VOLTAGE ADJUST TRIM.POT. OF THE SOLAR CHARGER BOARD,REPLACE THE CHARGER BOARD,,,,,,,,,,,,,,,,,,,,
,,,BATTERY CHARGING VOLTAGE IS TOO HIGH,REMOVE THE BATTERY AND CHECK THE VOLTAGE ADJUST TRIM.POT. OF THE SOLAR CHARGER BOARD,REPLACE THE CHARGER BOARD,,,,,,,,,,,,,,,,,,,,,,
,,,BATTERY CHARGING VOLTAGE IS CORRECT BUT BATTERY NOT CHARGING,CHECK THE BATTERY CONDITION,REPLACE THE BATTERY,CHECK THE SOLAR CHARGER BOARD COMPONENTS DAMAGE,REPLACE THE SOLAR CHARGER BOARD,,,,,,,,,,,,,,,,,,,,
,,,BATTERY CHARGING INDICATION LED NOT WORKING,CHECK THE BATTERY CONDITION,REPLACE THE BATTERY,CHECK THE LED IS WORKING AND CHECK THE CONNECTING CABLE QUALITY,REPLACE THE LED AND CABLE ASSY.,CHECK THE VOLTAGE OF THE CURREN INDICATION LINE,REPLACE THE SOLAR CHARGER BOARD,,,,,,,,,,,,,,,,,,
,,,LOW VOLTAGE CUTOFF NOT WORKING,CHECK THE LOW VOLTAGE CUTOFF RELAY(K2) IS WORKING(POWER ON SWITCH SUDDEN ON/OFF/ON),REPLACE THE SOLARCHARGER BOARD,,,,,,,,,,,,,,,,,,,,,,
,,,LOW VOLTAGE CUTOFF LED NOT WORKING,CHECK THE LED IS WORKING AND CHECK THE CONNECTING CABLE QUALITY,REPLACE THE LED AND CABLE ASSY.,CHECK THE VOLTAGE OF THE CUTOFF INDICATION LINE,REPLACE THE SOLAR CHARGER BOARD,,,,,,,,,,,,,,,,,,,,
,,,MACHINE FULL TIME WORKING FROM BATTERY(BATTERY NOT FULL),CHECK THE CHARGER ADAPTER VOLTAGES - 12.5V AND 24V,REPLACE THE CHARGER ADAPTER,CHECK THE SOLAR CHARGER BOARD LOW VOLTAGE SETTING TRIM POT.,REPLACE THE SOLARCHARGER BOARD,CHECK THE CHARGER ADAPTER DETECTION RELAY(K1) IS WORKING,REPLACE THE SOLARCHARGER BOARD,,,,,,,,,,,,,,,,,,
,,,MACHINE NOT WORKING FROM THE EXTERNAL CONNECTED BATTERY,CHECK THE EXTERNAL BATTERY VOLTAGE ABOVE 11.5V,CHARGE THE EXTERNAL BATTERY,CHECK THE RELAY(K1) IS WORKING (USE THE CHARGER ADAPTER),REPLACE THE SOLAR CHARGER BOARD,CHECK THE LOW VOLTAGE CUTOFF TRIM POT. OF THE SOLAR CHARGER BOARD,REPLACE THE SOLAR CHARGER BOARD,,,,,,,,,,,,,,,,,,
,,COMPACT ADAPTER,ADAPTER OUTPUT VOLTAGE IS ZERO (LSE V3/ECO V),CHECK THE STATUS LED IS GLOWING,OPEN THE ADAPTER AND CHECK PCB QUALITY( COMPONENTS BURN OR NOT),CHECK THE AC CORD,REPLACE AC CORD,CHECK THE ADAPTER PCB,REPLACE THE ADAPTER PCB,,,,,,,,,,,,,,,,,,
,,,ADAPTER OUTPUT VOLTAGE IS ZERO (LSE V3/ECO V) BUT LED IS GLOWING,CHECK THE OUTPUT DC CONNECTER OF THE ADAPTER,REPLACE THE OUTPUT DC CABLE,,,,,,,,,,,,,,,,,,,,,,
,,,ADAPTER OUPUT VOLTAGE SHOWING 8V TO 9V (LOW VOLTAGE),OPEN THE ADAPTER AND CHECK PCB QUALITY( COMPONENTS BURN OR NOT),REPLACE THE ADAPTER PCB,REPLACE THE ADAPTER PCB,,,,,,,,,,,,,,,,,,,,,
,,CHARGER ADAPTER,ADAPTER OUTPUT VOLTAGE IS ZERO (LSE-S V3/ECOD/ECOSV),CHECK THE STATUS LED IS GLOWING,OPEN THE ADAPTER AND CHECK PCB QUALITY( COMPONENTS BURN OR NOT),CHECK THE AC CORD,REPLACE AC CORD,CHECK THE CHARGER ADAPTER PCB,REPLACE THE CHARGER ADAPTER PCB,,,,,,,,,,,,,,,,,,
,,,ADAPTER OUTPUT VOLTAGE IS ZERO (LSE-S V3/ECOD/ECOSV) BUT LED IS GLOWING,CHECK THE OUTPUT DC CONNECTER OF THE ADAPTER,REPLACE THE OUTPUT DC CABLE,,,,,,,,,,,,,,,,,,,,,,
,,,ADAPTER OUPUT 12 VOLTAGE SHOWING 8V TO 9V (LOW VOLTAGE) AND 24V IS 24V,OPEN THE ADAPTER AND CHECK PCB QUALITY( COMPONENTS BURN OR NOT),REPLACE THE CHARGER ADAPTER PCB,REPLACE THE CHARGER ADAPTER PCB,,,,,,,,,,,,,,,,,,,,,
,,,ADAPTER OUPUT 12 VOLTAGE SHOWING 12V AND 24V IS  LOW VOLTAGE/ZERO.,OPEN THE ADAPTER AND CHECK PCB QUALITY( COMPONENTS BURN OR NOT),REPLACE THE CHARGER ADAPTER PCB,REPLACE THE CHARGER ADAPTER PCB,,,,,,,,,,,,,,,,,,,,,
,,ECOD-DPST BOARD,"SYTEM ON TIME ""PLEASE WAIT….."" NOTIFICATION CONTINUIOSLY SHOWING",CHECK THE SD CARD IS OK,REPLACE THE SD CARD,,,,,,,,,,,,,,,,,,,,,,
,,,DISPLAY BLANK,CHECK THE DPST BOARD BREATHING LED IS BLINKING,REPLACE THE DPST BOARD,CHECK THE DIRECTION OF THE DISPLAY FRC CABLE CONNECTOR,CONNECT THE FRC CONNECTOR AT  OPPOSITE DIRECTION,CHECK THE DISPLAY FRC CABLE QUALITY AND LCD QUALITY,REPLACE THE DISPLAY,,,,,,,,,,,,,,,,,,
,,,DISPLAY SHOWN HALF PORTION ONLY,CHECK THE DPST TO LCD FRC CABLE AND CONNECTOR QUALITY,REPLACE THE DPST TO LCD CABLE,CHECK THE DISPLAY MODULE FUNCTIONALITY,REPLACE THE LCD MODULE,CHECK THE DPST BOARD FUNCTIONALITY,REPLACE THE DPST BOARD,,,,,,,,,,,,,,,,,,
,,,RTC TIME NOT SAVED - RESTART TIME TIME CHANGED(RE-SETTED),CHECK THE CMOS BATTERY VOLTAGE ABOVE 2V,REPLACE THE CMOS BATTERY,CHECK THE U5 AND PROCESSOR CONNECTING LINE SOLDERING,RE-SOLDER THAT CONNECTION,,,,,,,,,,,,,,,,,,,,
,,,RTC TIME NOT RUNNING ,CHECK THE U5 IC CRYSTAL - Y3 AND ALSO CHECK C37 & C38,REPLACE THE Y3 CRYSTAL AND C37&C38,,,,,,,,,,,,,,,,,,,,,,
,,,DPST KEY PAD NOT WORKING,CHECK THE DIRECTION OF THE KEYPAD FRC-10 CABLE CONNECTOR,CONNECT THE FRC-10 CONNECTOR AT  OPPOSITE DIRECTION,CHECK THE DPST KEYPAD QUALITY,REPLACE THE DPST KEYPAD,CHECK THE DPST BOARD QUALITY,REPLACE THE DPST BOARD,,,,,,,,,,,,,,,,,,
,,,USB INITIALIZATION ERROR SHOWN,CHECK THE DPST TO BACKPANEL CABLE QUALITY AND DIRECTION OF THE FRC CONNECTOR,REPLACE THE FRC CABLE OR CONNECT THE FRC CONNECTOR AT  OPPOSITE DIRECTION,CONNECT THE NEW BACK PANEL BOARD AND CHECK,REPLACE THE DPST BOARD,,,,,,,,,,,,,,,,,,,,
,,,WEIGHING SCALE NOT WORKING,CHECK THE REQUIRED SETTINGS IS APPLIED,SET THE REQUIRED SETTINGS VALUES,CHECK THE SCALE INTERFACING CABLE CONNECTIVITY,REPLACE THE CABLE,CHECK THE BACK PANEL TO DPST SCALE CABLE,REPLACE THE BACK PANEL TO DPST SCALE CABLE,CHECK THE BACKPANEL PCB FUNCTANALITY,REPLACE THE BACKPANEL PCB,CHECK THE DPST BOARD FUNCTANALITY,REPLACE THE DPST BOARD,,,,,,,,,,,,,,
